Region,City,ZipCode,Population,HouseholdSize,IncomeLevel,FoodType,DemandAmount,EmergencyStatus,SeasonalFactor,SupplyType,DistributionPriority
Theresahaven,Hernandezview,56142,3066604,2,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
South Kevintown,Rebeccaborough,65437,3622993,2,High,Dry Goods,1000,Health,Summer,Non-Perishable,Standard
East Melissaburgh,Novakburgh,32703,2940348,1,Medium,Dairy,1000,None,Normal,Perishable,Standard
Crystalchester,North Annabury,80774,1851328,1,High,Fresh Produce,1000,Economic,Normal,Perishable,Standard
East Bradleyburgh,Nancyland,34395,2730742,3,Low,Meat/Poultry,1000,None,Normal,Perishable,Medium
Benjaminview,Erikaside,98933,2670906,5,Low,Meat/Poultry,1000,Economic,Normal,Perishable,High
Lake Richardbury,Port Juan,38635,1986232,4,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
East Linda,Mckenziemouth,67427,2573839,2,High,Meat/Poultry,1000,None,Normal,Perishable,Standard
Taratown,Stephensfurt,53823,3144248,3,Low,Dairy,1000,None,Summer,Perishable,Medium
Jordanberg,Lindafort,78268,4873043,5,Medium,Meat/Poultry,1000,Health,Summer,Perishable,Standard
West Joel,Lake Robert,66890,4027750,4,High,Dairy,1000,None,Normal,Perishable,Standard
Port Nicole,Laurieborough,56214,3111842,6,Low,Meat/Poultry,1000,None,Normal,Perishable,High
Port Julieburgh,Port Kevintown,22443,2771665,6,Medium,Fresh Produce,1000,None,Holiday,Perishable,Standard
Collierton,North Stephen,56480,4904004,4,High,Fresh Produce,1000,Health,Summer,Perishable,Standard
North Latashaville,Newmanfurt,57625,3688774,6,Medium,Fresh Produce,1000,Health,BackToSchool,Perishable,Standard
Hamiltonport,Jordanshire,11636,2410388,2,Medium,Dairy,1000,None,BackToSchool,Perishable,Standard
Lake Shannonland,Lake James,13150,1745809,2,Low,Dry Goods,1000,None,Holiday,Non-Perishable,Medium
Gibbsview,Stewarthaven,55613,2452322,1,Low,Meat/Poultry,1000,None,Normal,Perishable,Medium
Leachville,North Michael,73685,4831159,4,High,Dry Goods,154,None,Normal,Non-Perishable,Standard
Lake Harry,Murphyborough,73404,3406218,1,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
East Michelleburgh,Ericmouth,20569,4292485,1,High,Fresh Produce,1000,Health,BackToSchool,Perishable,Standard
Lake Adrian,Blakechester,15915,3777613,1,Medium,Dry Goods,577,Weather,Normal,Non-Perishable,Standard
Williambury,Brownchester,95616,4543337,1,High,Dry Goods,1000,None,BackToSchool,Non-Perishable,Standard
Gloverland,Lake Tiffany,91103,4006481,1,Low,Meat/Poultry,1000,Weather,Normal,Perishable,Medium
Youngton,Williamside,54432,3761613,5,High,Fresh Produce,1000,Weather,Normal,Perishable,Standard
South Craig,Josephtown,72560,3815781,2,High,Canned Goods,171,Economic,Holiday,Non-Perishable,Standard
North Andrew,Randallchester,97477,4339730,4,Low,Meat/Poultry,1000,Weather,Normal,Perishable,High
Port Kenneth,Hoffmanmouth,84234,4389848,4,Medium,Canned Goods,450,None,Normal,Non-Perishable,Standard
Cochranborough,Luismouth,45384,3261996,4,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
Lake Christopher,Lake Tom,73280,2713685,2,Medium,Dairy,1000,None,Holiday,Perishable,Standard
Port Kayla,Rodriguezton,64870,2819905,1,Medium,Dairy,1000,Weather,Normal,Perishable,Standard
East Nathan,Smithland,29474,4225513,5,Low,Meat/Poultry,1000,None,Normal,Perishable,High
Connorview,New Chelsea,27880,3675005,4,High,Meat/Poultry,1000,Health,Summer,Perishable,Standard
Nelsonchester,Guzmanberg,93281,2441419,6,Low,Fresh Produce,1000,None,Holiday,Perishable,High
Herrerashire,Kimshire,14640,3442980,4,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
Fieldston,New Sheila,20276,1294829,3,Low,Fresh Produce,1000,None,Normal,Perishable,Medium
Port Erinchester,Josemouth,76922,2139099,1,Medium,Canned Goods,1000,Health,Normal,Non-Perishable,Standard
East Eugeneland,East Sandra,80534,4444850,4,High,Fresh Produce,948,None,BackToSchool,Perishable,Standard
Lake Richard,Leslieshire,04499,1852987,4,Low,Dairy,1000,None,Normal,Perishable,High
North Cynthiaton,Port Amanda,44967,1954850,4,Low,Dry Goods,1000,None,Holiday,Non-Perishable,High
Hardymouth,South Matthewbury,80853,3615538,4,Low,Dry Goods,1000,None,Holiday,Non-Perishable,High
New Michael,Michaelchester,30748,4997312,6,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Coxside,Brownberg,26236,3296477,1,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Sandovalville,East Catherineborough,96241,2748434,1,Low,Canned Goods,1000,Weather,Normal,Non-Perishable,Medium
Lake Joseph,New Anthonychester,40091,1004553,3,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
Amberview,Brownborough,41948,1636188,3,Medium,Dry Goods,1000,None,Holiday,Non-Perishable,Standard
Adamview,South Ashleystad,31651,2367141,3,Medium,Fresh Produce,1000,None,Summer,Perishable,Standard
Arroyoport,North Joshua,98770,2688539,1,Low,Canned Goods,250,None,Normal,Non-Perishable,Medium
New Jeff,Justinport,11995,4122824,2,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Jessicaside,West Amanda,61117,1537165,6,High,Dairy,1000,None,Normal,Perishable,Standard
Williamsland,West Diana,30915,1616782,2,High,Dry Goods,912,Economic,Normal,Non-Perishable,Standard
North Nicolehaven,East Kari,35841,1168682,4,High,Fresh Produce,1000,None,Normal,Perishable,Standard
Moralesberg,Jackbury,03022,4724516,3,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Courtneystad,Port Christinaberg,81225,3546655,4,High,Dry Goods,1000,None,Summer,Non-Perishable,Standard
North Glenda,Lake Justinton,80120,1679812,6,Medium,Meat/Poultry,1000,Weather,BackToSchool,Perishable,Standard
Elizabethberg,Donnamouth,84884,3527712,5,Medium,Dairy,1000,None,Normal,Perishable,Standard
New Joseph,New George,54068,4763030,5,High,Dry Goods,500,None,BackToSchool,Non-Perishable,Standard
North Vanessa,New Kaitlynside,97612,3778769,3,High,Dairy,1000,Economic,Normal,Perishable,Standard
Andersonmouth,Yumouth,78821,2517919,4,Low,Canned Goods,1000,Economic,Summer,Non-Perishable,High
Vincenttown,Campbellmouth,05695,4790679,4,High,Dairy,1000,Health,Normal,Perishable,Standard
Lake Eugeneport,Tonyview,97747,4566531,5,High,Meat/Poultry,1000,None,Holiday,Perishable,Standard
Maxwellstad,Rodriguezland,03709,4675259,6,High,Dry Goods,1000,None,Normal,Non-Perishable,Standard
South Christopherburgh,Thomasville,37558,4005039,3,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
Smithshire,Andersonberg,40419,4386904,5,Medium,Dry Goods,1000,None,Holiday,Non-Perishable,Standard
Harveychester,Lake Robert,96581,4279620,3,Low,Canned Goods,1000,None,Holiday,Non-Perishable,Medium
Jillmouth,Cooperberg,57162,4992208,5,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Thomasberg,West Kristintown,33687,3082701,3,Medium,Dry Goods,1000,Economic,Normal,Non-Perishable,Standard
Lake Lindahaven,East John,08969,3144086,4,Medium,Canned Goods,1000,Economic,Summer,Non-Perishable,Standard
Jonathanmouth,Summersborough,17614,4612768,6,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Port Jason,New Shannon,25060,1323193,3,High,Dry Goods,1000,Economic,Normal,Non-Perishable,Standard
South Andrea,North George,15112,1614525,1,High,Canned Goods,1000,None,Summer,Non-Perishable,Standard
North Ericmouth,Shahberg,76761,3097736,4,Low,Fresh Produce,1000,None,Normal,Perishable,High
West Donaldmouth,Lake Taylor,05899,2155518,5,High,Canned Goods,1000,None,Holiday,Non-Perishable,Standard
Lake Christopher,Kingside,61593,4991463,1,High,Fresh Produce,1000,None,Normal,Perishable,Standard
Warnerchester,West Robert,24651,1798989,2,Low,Fresh Produce,1000,None,Summer,Perishable,Medium
South Johnny,Elizabethton,29688,3324042,1,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
North Amy,Port Kevinville,34859,1156534,6,Medium,Dry Goods,1000,Economic,Summer,Non-Perishable,Standard
Velezside,Lake Cody,97760,1308246,6,Low,Canned Goods,1000,None,Summer,Non-Perishable,High
Lake Williamside,North Nicholas,93355,3611619,1,Low,Canned Goods,1000,Health,Normal,Non-Perishable,Medium
Rodriguezberg,Joshuahaven,83244,3377751,2,Medium,Fresh Produce,1000,None,Summer,Perishable,Standard
Spearsbury,Jonesfurt,65028,3029469,4,Medium,Canned Goods,1000,Economic,Summer,Non-Perishable,Standard
West Carolchester,West Nicholas,72549,1244781,4,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
West Joannaberg,Ruizside,43205,3803896,4,High,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Lake Michealberg,Gregoryhaven,82460,2716068,3,High,Canned Goods,1000,None,Normal,Non-Perishable,Standard
South Tom,North Brian,99480,4959753,1,Medium,Dry Goods,1000,None,BackToSchool,Non-Perishable,Standard
East Amber,New Samantha,56981,4928112,1,Low,Fresh Produce,1000,None,Holiday,Perishable,Medium
New Timothy,Lake Mary,44308,4525447,3,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Lake Richard,North Janet,77284,2958950,6,Medium,Dairy,1000,Economic,Normal,Perishable,Standard
Kimbury,Marshallmouth,05709,2894439,1,High,Dairy,683,None,Normal,Perishable,Standard
South Jaybury,Transide,09448,3210779,1,Medium,Fresh Produce,1000,Economic,Normal,Perishable,Standard
New Johnhaven,Walkermouth,58319,1181489,3,High,Meat/Poultry,420,Economic,Summer,Perishable,Standard
Mejiaton,Jacksontown,60406,1225459,6,Low,Meat/Poultry,1000,None,Normal,Perishable,High
East Ashleychester,Lake Mark,98639,4241236,3,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
Kaitlynside,North Bethany,05383,1063015,1,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Mariamouth,South Katiemouth,34267,3910248,1,Low,Dairy,998,None,Normal,Perishable,Medium
Smithchester,Theresaberg,83627,2522166,1,Medium,Fresh Produce,1000,Health,Holiday,Perishable,Standard
East Tarahaven,East Kelsey,25211,3233267,1,Low,Dry Goods,1000,None,Holiday,Non-Perishable,Medium
Lake Amberbury,New Donna,48660,1136825,6,High,Dairy,1000,Weather,Normal,Perishable,Standard
Elijahbury,Powerschester,72292,1476891,6,Low,Canned Goods,1000,Economic,Normal,Non-Perishable,High
North Kristopherfurt,Port Susan,74523,3222318,1,Low,Dry Goods,1000,None,Normal,Non-Perishable,Medium
Tylerfurt,Ericstad,12518,3907578,4,Medium,Dry Goods,1000,Weather,Normal,Non-Perishable,Standard
Greenhaven,Floresfort,61089,1456088,2,Low,Canned Goods,1000,None,BackToSchool,Non-Perishable,Medium
North Matthewview,East Lauren,14080,2350239,2,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
East Janetland,New Kennethton,21976,2843240,3,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
East Brianshire,Vanessaton,63765,3369014,1,Low,Dry Goods,1000,None,Normal,Non-Perishable,Medium
Taylormouth,Nelsonton,50232,1557300,1,Medium,Dairy,1000,None,Normal,Perishable,Standard
South Jeanneborough,Loganstad,79526,3915032,3,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
East Katrina,Brucestad,14640,4873188,6,Medium,Dairy,1000,None,Normal,Perishable,Standard
Amyborough,Ruizmouth,93458,1876690,4,High,Dry Goods,722,None,Summer,Non-Perishable,Standard
Christineborough,Jimmyton,18232,1035911,6,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
West Vanessachester,Washingtonland,22946,4527236,2,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Lake Maryborough,Tonyton,43227,1772081,2,Low,Dry Goods,1000,None,Normal,Non-Perishable,Medium
Suttonfurt,New Stephanieton,70233,1478733,5,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
Tylerfurt,Anthonyview,51368,3245628,3,Medium,Dairy,1000,None,Normal,Perishable,Standard
North Christopherfort,Timothyhaven,26535,3739409,4,Low,Canned Goods,1000,None,BackToSchool,Non-Perishable,High
Jeffreyborough,Amberport,93607,4819757,5,Medium,Fresh Produce,772,None,Normal,Perishable,Standard
Sharonberg,West Lisa,37281,2785035,4,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Loweton,Johnfurt,25316,4619209,1,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
Port Lisachester,Watsonhaven,34063,3320844,3,Low,Dry Goods,1000,None,Normal,Non-Perishable,Medium
North Shirleychester,Connorstad,21795,1820986,5,Low,Dry Goods,746,None,Holiday,Non-Perishable,High
North Kimside,Lake Tristanland,64817,1136252,6,Low,Canned Goods,1000,None,Summer,Non-Perishable,High
East Kimfort,Griffinshire,33003,3858261,6,High,Canned Goods,1000,None,Normal,Non-Perishable,Standard
East Eddietown,West Megan,36033,3425303,1,Low,Fresh Produce,1000,None,Summer,Perishable,Medium
North Tashashire,South Emily,54541,1432812,3,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Lake Jennifer,Michaelfort,61717,2202398,1,Low,Dairy,1000,None,Holiday,Perishable,Medium
South Shawnview,Brandonborough,07499,2418068,6,High,Fresh Produce,917,None,Normal,Perishable,Standard
South Haleyville,East Maryville,17094,2693735,4,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
East Shannon,East Jefffort,05628,4422561,4,Low,Fresh Produce,1000,None,BackToSchool,Perishable,High
East Lindsayview,South Cassie,69613,2354457,1,Medium,Meat/Poultry,942,Economic,Summer,Perishable,Standard
South Alexa,North Jessicaberg,57691,3270632,1,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
South Dawn,Port Joann,93353,1599406,4,High,Canned Goods,1000,Weather,Normal,Non-Perishable,Standard
North Natalie,Farrellside,18648,2593666,1,Low,Meat/Poultry,1000,Economic,Holiday,Perishable,Medium
New Gregoryfurt,New Madisonburgh,51767,1164597,5,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
Hendersonland,Cummingsfort,32355,1259599,6,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
Williamshire,Jeremyfort,85194,4836585,5,Low,Canned Goods,1000,Weather,Normal,Non-Perishable,High
Port Kennethfort,Lake Patriciatown,98820,1269850,5,Medium,Dairy,1000,Economic,Normal,Perishable,Standard
New Brandymouth,Melissaburgh,24064,4221408,1,Low,Fresh Produce,1000,None,Normal,Perishable,Medium
Sarahside,Hornfurt,90447,3558041,6,Low,Fresh Produce,1000,Economic,Summer,Perishable,High
Port Ian,Pattersonville,30666,1637487,4,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Kevinside,Byrdbury,09208,4703206,3,Medium,Dairy,1000,Weather,Holiday,Perishable,Standard
Port Loriview,East Jayborough,17712,2790348,1,Medium,Dry Goods,1000,None,Summer,Non-Perishable,Standard
Port Elizabeth,Acostaville,48873,4521004,2,Medium,Fresh Produce,1000,None,Summer,Perishable,Standard
West Brianland,Port Francisco,83250,1470263,6,Medium,Dry Goods,1000,None,Holiday,Non-Perishable,Standard
Mitchellborough,Mooreshire,70932,1077137,6,Low,Dairy,1000,None,Summer,Perishable,High
Kellytown,New Anthony,79481,1374594,1,Low,Dry Goods,1000,Economic,Summer,Non-Perishable,Medium
Port Reginaview,Tinaburgh,73623,1667359,3,Low,Meat/Poultry,318,None,Normal,Perishable,Medium
Ericside,North Whitney,86073,1526949,5,High,Dairy,1000,Health,Summer,Perishable,Standard
Lake Michael,New Leslieshire,75488,1309145,6,High,Dry Goods,1000,Health,BackToSchool,Non-Perishable,Standard
South Jeffreyfort,New Timothy,24456,2060714,6,Low,Canned Goods,1000,Health,Normal,Non-Perishable,High
West Ashleyside,Ramirezfort,73480,2770442,2,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Stephenfort,Guzmanfort,26889,1525172,1,High,Fresh Produce,1000,None,Normal,Perishable,Standard
Stephanieport,South Wendyfort,78744,1026886,3,High,Dry Goods,1000,Economic,Normal,Non-Perishable,Standard
Hansonview,Matthewhaven,63670,3512697,1,Low,Fresh Produce,754,None,Normal,Perishable,Medium
Williamschester,West Christophermouth,53234,3675236,2,High,Canned Goods,331,None,Holiday,Non-Perishable,Standard
Williammouth,Manningstad,06456,4604995,4,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
West Alex,Watsonbury,32131,3651697,4,High,Fresh Produce,1000,None,Summer,Perishable,Standard
North David,South Luke,92152,4403899,6,High,Canned Goods,1000,Weather,Normal,Non-Perishable,Standard
Harperbury,Lake Jessicaport,99265,1313031,4,Low,Meat/Poultry,1000,None,Summer,Perishable,High
Keithborough,New Wayne,70555,3123916,4,Low,Fresh Produce,1000,Health,BackToSchool,Perishable,High
Port Andrew,Smithstad,72998,2072050,2,Low,Dry Goods,1000,Economic,Holiday,Non-Perishable,Medium
South Kathyburgh,Millerbury,33897,3889569,3,Low,Meat/Poultry,1000,None,BackToSchool,Perishable,Medium
Nelsonburgh,Edwardsview,83502,3099215,6,Medium,Canned Goods,1000,None,Holiday,Non-Perishable,Standard
New Emma,East Travisville,48191,4047365,5,High,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Kennethberg,New Thomas,85179,2012340,3,High,Canned Goods,729,None,Normal,Non-Perishable,Standard
Ramosland,South Adrianton,89000,1568843,5,Medium,Fresh Produce,1000,None,Holiday,Perishable,Standard
Millerburgh,Savageshire,64736,3234070,4,High,Meat/Poultry,1000,None,Normal,Perishable,Standard
Richardview,Suemouth,66868,1306270,3,Low,Meat/Poultry,1000,None,Holiday,Perishable,Medium
Lamland,South Charles,95520,1613160,4,Low,Fresh Produce,1000,None,Normal,Perishable,High
Kellymouth,Phelpsview,60184,4728797,4,Medium,Canned Goods,1000,None,Summer,Non-Perishable,Standard
North Joanview,Spencerview,42578,3904440,3,Low,Canned Goods,939,None,Holiday,Non-Perishable,Medium
South Jessicamouth,North Victoria,76311,4640596,3,Low,Dairy,1000,None,Normal,Perishable,Medium
Port Brian,Ginamouth,03601,4946194,5,Medium,Fresh Produce,1000,None,BackToSchool,Perishable,Standard
South Karenland,Tinamouth,72315,2803021,4,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
Kevinstad,South Tiffanyside,64461,3805030,2,Low,Dry Goods,1000,None,Normal,Non-Perishable,Medium
East James,Josephfurt,60928,3410667,5,Medium,Canned Goods,1000,Health,BackToSchool,Non-Perishable,Standard
Cynthiabury,Brentton,70101,1610805,3,Medium,Dairy,1000,Health,Normal,Perishable,Standard
South John,East Daleborough,60352,4635283,1,High,Dry Goods,1000,None,BackToSchool,Non-Perishable,Standard
North Marie,Whitakerberg,65790,3906733,6,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Port Matthewside,Stephaniemouth,02539,4123136,1,Medium,Canned Goods,396,None,Normal,Non-Perishable,Standard
Timmouth,Lake Alison,12371,1003789,5,High,Dairy,1000,Weather,Normal,Perishable,Standard
East Diana,East Jenniferland,79809,3885267,3,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Johnsonmouth,Lake Antoniochester,50332,1765040,3,Medium,Fresh Produce,1000,None,Summer,Perishable,Standard
Jenniferport,Huanghaven,20218,3143120,5,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
South Karen,Garretttown,82663,3288989,1,Medium,Dry Goods,1000,None,Holiday,Non-Perishable,Standard
Williamburgh,Duffybury,86266,3979948,3,Medium,Canned Goods,1000,Economic,Normal,Non-Perishable,Standard
Nguyenview,Kellyport,18064,2684346,2,Low,Canned Goods,716,None,Normal,Non-Perishable,Medium
West Luis,Francesmouth,15971,1034692,2,Low,Dairy,1000,Health,BackToSchool,Perishable,Medium
Garymouth,New Normanfort,59909,1810914,3,Medium,Dry Goods,1000,None,BackToSchool,Non-Perishable,Standard
Danielfort,New Madelinemouth,58231,4761766,4,Low,Dairy,1000,None,Normal,Perishable,High
New Kevin,Caseyport,24391,3038373,4,Low,Dairy,1000,None,Normal,Perishable,High
East Katrinaton,West Hector,59125,4892895,4,Medium,Meat/Poultry,1000,Weather,Normal,Perishable,Standard
Jensenbury,Davischester,70364,2151060,1,Low,Meat/Poultry,1000,None,Summer,Perishable,Medium
South Andrea,Port Lisa,07560,3479517,4,Low,Canned Goods,1000,Economic,BackToSchool,Non-Perishable,High
Staffordview,Danielberg,36392,4003108,3,Low,Fresh Produce,1000,Health,Normal,Perishable,Medium
New Mikayla,Freemanside,61192,3538708,5,High,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Angelaview,Tranhaven,01476,3504531,6,High,Canned Goods,1000,None,Summer,Non-Perishable,Standard
North Robertville,Emilyview,79036,3717690,3,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Lake Kevinland,Williamton,42435,2066569,1,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
Nancyfurt,Lake James,51176,1036041,3,High,Dry Goods,249,None,Normal,Non-Perishable,Standard
North Adamtown,Port Amymouth,98637,3058219,3,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
Boyerhaven,Morrowland,37180,4986442,2,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
East Markchester,Nealmouth,23241,2124420,5,Medium,Dairy,1000,None,Summer,Perishable,Standard
Lorimouth,Robertfort,80131,3064248,6,Low,Fresh Produce,1000,Health,Normal,Perishable,High
Danielleside,New Ruthfurt,39436,1182710,5,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
East Kathleenview,South Angelabury,32321,2171760,4,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
Palmerport,West Michelle,85617,2242520,2,High,Dry Goods,294,None,Summer,Non-Perishable,Standard
Murphystad,New Robertstad,77431,3559806,6,Low,Fresh Produce,1000,Health,Normal,Perishable,High
Delacruzbury,New Brittanyton,36019,4387727,6,High,Dairy,1000,None,Normal,Perishable,Standard
Debrafurt,Lake Michelle,28024,4917375,5,Medium,Dry Goods,1000,Health,Normal,Non-Perishable,Standard
South Jamesstad,South Emily,51454,2186769,2,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
North Patricia,Frankmouth,53835,2670736,5,High,Fresh Produce,1000,None,Normal,Perishable,Standard
Lake Angelaborough,East Johnstad,06863,3175324,4,Low,Fresh Produce,1000,None,Normal,Perishable,High
Wendyborough,Lake Bradbury,86039,1693004,5,High,Dairy,1000,None,Normal,Perishable,Standard
North Steven,South Emilystad,89971,2223377,3,High,Fresh Produce,1000,None,Summer,Perishable,Standard
Kennedystad,Gordonberg,39833,1036587,6,High,Fresh Produce,1000,None,Normal,Perishable,Standard
Pottershire,Martinezstad,93336,4308333,5,Low,Dry Goods,1000,Health,Holiday,Non-Perishable,High
Port Dawnfort,Diazview,65393,3788857,1,High,Canned Goods,1000,None,Normal,Non-Perishable,Standard
